"title","price","beds","baths","size","details","time"
"فيلا للبيع في شارع النبهانية ، حي الربوة ، الرياض ، الرياض","5,000,000 ريال","5","5","562 م²","السعر 5000000 (( شامله القيمه المضافه ))  
فله  ((( للبيع ))) 
((( جديده بناء جديد ))) من المالك مباشره  المساحه 562.5
شماليه شارع 20 وشرقيه شارع 20 زاويه  بناء حديث مودرن 
جميع مواصفات الفله موجوده في الصوره الاولي 
اي استفسار  الاتصال علي المال...","قبل 12 ساعة"
"فيلا للبيع في طريق عمر بن عبد العزيز الفرعي ، حي الربوة ، الرياض ، الرياض","1,440,000 ريال","5","4","262 م²","فيلا للبيع شرق الرياض الربوه
مساحه ٢٦٢
مساحه الشارع ٠
الفله دورين ونص
مرهون للبنك ٤٠٠ الف 
عمر الفله ٧ سنوات
الدور الارضي مجلس مقلط وصاله مطبخ دورتين مياه
الدور الثاني اربع غرف وصاله واربع دورات مياه ‏
الدور الثالث غرفتين وصالة ومطبخ دورت مياه  الخيم...","قبل شهر"
"فيلا للبيع في شارع ال فريان ، حي منفوحة الجديدة ، الرياض ، الرياض","300,000 ريال","7","3","159 م²","","قبل 3 شهور"
"فيلا للبيع في حي الخالدية ، الرياض ، الرياض","2,200,000 ريال","7","3","730 م²","فيلا مجزأه الى قسمين القسم الاول دورين وشقه والقسم الثاني ثلاث شقق جديده لم تسكن الفيلا الاولى مجدده بالكامل .","قبل شهرين"
"فيلا للبيع في شارع طلحة العلثي ، حي المنصورة ، الرياض ، الرياض","1,450,000 ريال","5","5","550 م²","فرصه للاستثمار
فلتين متلاصقه
الفلة الاولي مساحتها ٢٧٥ متر
مكونه من دور ودور وملحق
الفلة الثانية مساحتها ٢٧٥ متر
مكونه من دور ودور وملحق
بصك واحد
الدخل الان ١١٠ الف في السنه الإيجارات منزلها صاحب العقار لأن أكثر السكان لهم مستاجرين أكثر من ثلاث سنوات
...","قبل 3 شهور"
"فيلا للبيع في شارع المهد ، حي جرير ، الرياض ، الرياض","950,000 ريال","4","3","254 م²","الدور الارضي استقبال مجلس ومقلط وصالة جلوس كبيره ومطبخ ومخزن
الدور الاول 4 غرف نوم وصاله و 3 حمامات 
ملحق بالسطح مع المشب
البيع مليون قابل للتفاوض","قبل 4 اسابيع"
"فيلا للبيع في شارع محمد بن عتيق ، حي الفاروق ، الرياض ، الرياض","1,100,000 ريال","7","5","675 م²","","قبل 3 شهور"
"فيلا للبيع في شارع وادي الشقره ، حي المنصورة ، الرياض ، الرياض","900,000 ريال","4","5","300 م²","عمر الڤيلا 10 سنوات 
الدور الارضي | مجلس و مقلط و صاله و غرفه نساء و مخزن و دورتين مياة 
الدور الاول | غرفتين سوبر كل غرفه لها مدخل خاص و غرفه مياة مستقله .. + غرفتين مع دورتين مياة .. المجمل 4 غرف نوم و 4 دوارت مياة .. 
الدور الثاني سطحين و صالة و غ...","قبل 3 اسابيع"
"فيلا للبيع في شارع نجروش الزهراني ، حي المنصورة ، الرياض ، الرياض","950,000 ريال","5","5","200 م²","فيلا بحي المنصورة 200متر والزواية 280
الدور الأرضي
_مجلس 
_مقلط
_صالة كبيره
_مطبخ
الدور الأول
_4غرف نوم 2ماستر و2 دورة مياه مشترك 
الدور الثاني 
-غرفة 
-غرفة غسيل 
-وحمام 
-صالة مطلة علي سطح 
وسطحين","قبل 3 شهور"
"فيلا للبيع في طريق الملك فيصل ، حي المربع ، الرياض ، الرياض","20,000,000 ريال","7","5","2500 م²","فله كبيره مكونه من دوري وفله دبلكس مكونه من دورين 
ملاحق خارجيه  مساحات كبيره توفر مواقف للسيارات تستوعب 8 سيارات مجالس خارجيه","قبل شهر"
"فيلا للبيع في شارع وادي الرشا ، حي الربوة ، الرياض ، الرياض","1,450,000 ريال","4","4","325 م²","","قبل اسبوعين"
